C101

VEHICLE
NUMBER     CAPACITY
  25         100

CUSTOMER
CUST NO.  LONGITUDE   LATITUDE    DEMAND   READY TIME  DUE DATE   SERVICE TIME   NAME
 
    0    -6.9329450  107.6987109     0          0       1236          0          TPS Gedebage
    1    -6.9152688  107.7166702    10        912        967         90          Bumi Cilengkrang Indah
    2    -6.9196581  107.7200303    30        825        870         90          Komplek Vijaya Kusuma
    3    -6.9258268  107.7180216    10         65        146         90          Eastern Hills Regency
    4    -6.9126239  107.7202653    10        727        782         90          Pondok Alam Cilengkrang
    5    -6.9159353  107.7130881    10         15         67         90          Tirtawening
    6    -6.9279419  107.7164613    20        621        702         90          Komplek Cipadung Permai
    7    -6.9386498  107.7352344    20        170        225         90          Perumahan Resko
    8    -6.9021863  107.7215927    20        255        324         90          Puskopad
    9    -6.9159962  107.7241119    10        534        605         90          Komplek Vijaya Kusuma II
   10    -6.9211911  107.7233157    10        357        410         90          Manisi Gaya
   11    -6.9294789  107.7258252    10        448        505         90          Komplek Cibiru Asri 1
   12    -6.9026576  107.7244194    20        652        721         90          Griya Cilengkrang Indah
   13    -6.9323241  107.7160237    30         30         92         90          UIN Bandung
   14    -6.9184229  107.7139641    10        567        620         90          De' Green Mension
   15    -6.9258567  107.7299897    40        384        429         90          Komplek Cibiru Asri 2
   16    -6.9237039  107.7140425    30        875        900         90          SMA Muhamadiyah 4 Bandung
   17    -6.9244204  107.7159544    20        460        568         90          SDN 168 Cipadung
   18    -6.9272858  107.7166318    30        386        411         90          MAN 2 Bandung
   19    -6.9278284  107.7250171    10         81        100         90          MTS Assawiyah
   20    -6.9173047  107.7253970    25        120        150         90          SMAN 26 Bandung
   21    -6.9095613  107.7232224    20        345        568         90          Griya Cilengkrang Asri
   22    -6.9629534  107.6986103    40        416        683         90          Bumi Adipura Gedebage
   23    -6.9530062  107.7106778    10        149        482         90          Cluster Cendana Regency
   24    -6.9421235  107.6886856    30        739        917         90          Buana Soetta Residence
   25    -6.9227589  107.7282774    20        758        845         90          Cibiru Raya Regency
   26    -6.9228512  107.7265173    10        493        923         90          SDN 2 Cibiru
   27    -6.9152896  107.7253648    35        382        746         90          SMPN 46 Bandung
   28    -6.9197810  107.7256419    40        246        843         90          SDN 102 Cikudayasa
   29    -6.9229274  107.7265456    30        915        980         90          SDN Cibiru 8
   30    -6.9225660  107.7198388    10        874        910         90          SDN 169 Pelita
   31    -6.9213991  107.7173397    20        532        845         90          SMK Karya Bakti
   32    -6.9140393  107.7159530    30        234        687         90          Cilengkrang City View
   33    -6.9174576  107.7231993    20        124        595         90          Dwipapuri Residence
   34    -6.9203075  107.7261971    40        386        762         90          Arundaya Residence 
   35    -6.9215468  107.7266288    30        390        756         90          Shafira Pasir Biru Residence
   36    -6.9220524  107.7250174    20        109        847         90          Komplek YKB Pasirbiru
   37    -6.9426546  107.7312309    30        239        495         90          Komplek Permata Biru
   38    -6.9393161  107.6922193    40         76        398         90          Perumahan Pertamina
   39    -6.9224987  107.7249048    10        309        854         90          Komplek Bukit Citra Biru
   40    -6.9246291  107.7287390    20        287        635         90          Bumi Cibiru Raya
